alimento,kcal,azucar_anadido,grasa_tot,grasa_sat,sodio,edulcorante,cafeina
"Leche parcialmente descremada fluida",44.0,0.0,1.4,0.95,55.0,False,False
"Yogur descremado natural",36.0,0.0,0.0,0.0,47.0,False,False
"Yogur entero natural",62.0,0.0,3.3,2.1,46.0,False,False
"Yogur entero saborizado con azúcar",87.0,6.3,3.3,2.1,46.0,False,False
"Queso Azul / Roquefort",368.0,0.0,31.1,19.26,1210.0,False,False
"Queso blanco descremado untable",82.0,0.0,0.3,0.0,106.0,False,False
"Queso Cheddar",410.0,0.0,33.8,19.37,644.0,False,False
"Queso Cremoso",310.0,0.0,24.9,13.66,704.0,False,False
"Queso Cuartirolo",280.0,0.0,21.4,13.66,360.0,False,False
"Queso de máquina / Barra",356.0,0.0,27.4,17.61,819.0,False,False
"Queso Mar del Plata / Pategrás",332.0,0.0,25.6,21.27,720.0,False,False
"Queso Mascarpone",357.0,0.0,34.4,20.21,314.0,False,False
"Queso Muzzarella",278.0,0.0,19.3,13.9,486.0,False,False
"Queso Parmesano",350.0,0.0,24.4,13.5,1804.0,False,False
"Queso Port Salut",225.0,0.0,12.9,7.15,55.0,False,False
"Queso Provolone",350.0,0.0,26.6,17.08,727.0,False,False
"Queso Reggianito / Sardo",381.0,0.0,25.0,14.85,1175.0,False,False
"Queso untable clásico",284.0,0.0,27.0,16.0,409.0,False,False
"Queso untable light",195.0,0.0,16.0,9.3,364.0,False,False
"Ricota entera",169.0,0.0,11.8,7.28,146.0,False,False
"Ricota descremada",137.0,0.0,7.9,4.93,99.0,False,False
"Bondiola (fiambre)",264.0,0.0,22.0,7.94,1250.0,False,False
"Carne de cerdo magra cruda",206.0,0.0,14.8,4.92,57.0,False,False
"Carne picada vacuna común",210.0,0.0,14.4,6.04,52.0,False,False
"Carne picada vacuna magra / especial",138.0,0.0,5.5,2.15,60.0,False,False
"Carne vacuna promedio cortes magros",138.0,0.0,5.5,2.15,60.0,False,False
"Carne vacuna promedio cortes semigrasos",176.0,0.0,10.1,4.12,61.0,False,False
"Carne vacuna promedio cortes grasos",210.0,0.0,14.4,6.04,52.0,False,False
"Chorizo parrillero crudo",296.0,0.0,25.1,8.6,788.0,False,False
"Conejo crudo",130.0,0.0,5.6,1.66,41.0,False,False
"Cordero crudo",224.0,0.0,17.0,8.19,74.0,False,False
"Hígado vacuno crudo",130.0,0.0,3.6,1.23,69.0,False,False
"Jamón cocido",107.0,0.0,3.3,1.1,800.0,False,False
"Jamón crudo",319.0,0.0,22.6,7.94,2130.0,False,False
"Morcilla",374.0,0.0,34.5,13.4,680.0,False,False
"Mortadela",306.0,0.0,25.4,9.51,1246.0,False,False
"Paleta de cerdo cocida (fiambre)",107.0,0.0,3.3,1.1,800.0,False,False
"Panceta ahumada",389.0,0.0,37.1,12.62,1140.0,False,False
"Pollo entero con piel crudo",208.0,0.0,15.5,4.41,69.0,False,False
"Pollo pechuga sin piel cruda",114.0,0.0,2.6,0.69,45.0,False,False
"Salame",372.0,0.0,31.7,11.42,1358.0,False,False
"Salchicha de Viena",226.0,0.0,17.2,6.08,1297.0,False,False
"Salchicha de Viena light",140.0,0.0,9.5,3.81,744.0,False,False
"Huevo de gallina, clara cruda",51.0,0.0,0.2,0.0,186.0,False,False
"Huevo de gallina, entero crudo",156.0,0.0,11.8,3.18,135.0,False,False
"Huevo de gallina, yema cruda",339.0,0.0,28.7,10.33,65.0,False,False
"Atún enlatado al natural",86.0,0.0,1.0,0.21,247.0,False,False
"Atún enlatado en aceite",190.0,0.0,8.2,1.53,416.0,False,False
"Caballa enlatada",149.0,0.0,6.3,1.86,379.0,False,False
"Calamar crudo",99.0,0.0,1.4,0.36,44.0,False,False
"Camarón / Langostino crudo",91.0,0.0,0.8,0.1,119.0,False,False
"Merluza filet crudo",80.0,0.0,1.3,0.3,91.0,False,False
"Salmón rosado crudo",122.0,0.0,4.4,0.81,75.0,False,False
"Sardina enlatada en aceite",202.0,0.0,11.5,1.53,307.0,False,False
"Aceite comestible mezcla",900.0,0.0,100.0,10.83,0.0,False,False
"Aceite de canola",892.0,0.0,99.1,7.37,0.0,False,False
"Aceite de chía",900.0,0.0,100.0,9.86,0.0,False,False
"Aceite de coco",900.0,0.0,100.0,82.48,0.0,False,False
"Aceite de girasol",900.0,0.0,100.0,10.6,0.0,False,False
"Aceite de girasol alto oleico",900.0,0.0,100.0,9.6,0.0,False,False
"Aceite de maíz",900.0,0.0,100.0,15.2,2.0,False,False
"Aceite de oliva",900.0,0.0,100.0,17.0,0.0,False,False
"Aceite de soja",900.0,0.0,100.0,15.65,0.0,False,False
"Almendra",570.0,0.0,49.9,3.8,1.0,False,False
"Avellana",631.0,0.0,60.9,4.46,6.0,False,False
"Maní tostado salado",596.0,0.0,49.7,7.72,701.0,False,False
"Maní tostado sin sal",596.0,0.0,49.7,7.72,6.0,False,False
"Mantequilla de maní",607.0,0.0,49.5,9.52,476.0,False,False
"Nuez",690.0,0.0,67.4,6.13,3.0,False,False
"Pistacho salado",566.0,0.0,45.8,5.65,428.0,False,False
"Semilla de chía",374.0,0.0,30.7,3.33,16.0,False,False
"Semilla de girasol",592.0,0.0,51.5,4.46,9.0,False,False
"Semilla de lino",459.0,0.0,42.2,3.66,30.0,False,False
"Semilla de sésamo",565.0,0.0,49.7,6.96,11.0,False,False
"Semilla de zapallo",581.0,0.0,49.1,8.66,7.0,False,False
"Azúcar blanca refinada",400.0,99.8,0.0,0.0,1.0,False,False
"Azúcar impalpable",399.0,97.8,0.0,0.0,1.0,False,False
"Azúcar rubia / mascabo",393.0,97.0,0.0,0.0,28.0,False,False
"Dulce de batata",255.0,52.0,0.1,0.0,19.0,False,False
"Dulce de leche común",315.0,44.0,6.6,4.07,138.0,False,False
"Dulce de membrillo",269.0,52.0,0.1,0.0,0.0,False,False
"Glucosa líquida / jarabe",339.0,40.2,0.0,0.0,0.0,False,False
"Mermelada de frutas común",273.0,43.7,0.1,0.01,32.0,False,False
"Miel de abejas",330.0,82.1,0.0,0.0,4.0,False,False
"Cacao amargo puro en polvo",285.0,0.0,13.7,8.07,21.0,False,False
